level,belief,relative_commitment_offset,n_states,n_probe_rows,mean_entropy_bits,median_entropy_bits
granular,wall_left,-9,44,44,0.6923824000840495,0.7071102779429572
granular,wall_right,-9,44,44,0.5678128660115899,0.5476261100227837
granular,wall_up,-9,44,44,0.559039464559667,0.5187062769941404
granular,door_open,-8,44,44,0.08939962435422256,0.07163998637014124
granular,has_key,-8,44,44,0.1317620393373707,0.035587602944470345
granular,wall_down,-8,44,44,0.48692463842062783,0.4703208298113364
granular,wall_left,-8,44,44,0.66888134833422,0.6982184023225276
granular,wall_right,-8,44,44,0.5419004396941098,0.5167473053026046
granular,wall_up,-8,44,44,0.5452757685524204,0.5234881644280069
granular,door_open,-7,44,44,0.0953535933524579,0.0770944188818789
granular,has_key,-7,44,44,0.12024961597024543,0.02948781344977865
granular,wall_down,-7,44,44,0.5453099256663357,0.5256479906230396
granular,wall_left,-7,44,44,0.6803464840594147,0.7273853138449002
granular,wall_right,-7,44,44,0.588857038861605,0.5717559077308408
granular,wall_up,-7,44,44,0.577813858884567,0.5162091365943043
granular,door_open,-6,45,45,0.09193277601982439,0.0749915165936194
granular,has_key,-6,45,45,0.1102215177037418,0.032736577193006
granular,wall_down,-6,45,45,0.47555596016521384,0.4585201096607019
granular,wall_left,-6,45,45,0.6773840955355392,0.6528212059631245
granular,wall_right,-6,45,45,0.576959562611241,0.5276944164114467
granular,wall_up,-6,45,45,0.547112860310137,0.4866425894441883
granular,door_open,-5,45,45,0.10408920352468694,0.0894510047020739
granular,has_key,-5,45,45,0.12267544470473866,0.0324635873163535
granular,wall_down,-5,45,45,0.5112934861301816,0.4798707436487758
granular,wall_left,-5,45,45,0.7066610573781676,0.7683788112668817
granular,wall_right,-5,45,45,0.5791008323978861,0.5867627781487171
granular,wall_up,-5,45,45,0.5617341620177712,0.5720717327728521
granular,door_open,-4,45,45,0.09480721321683487,0.0770791563487991
granular,has_key,-4,45,45,0.11478171669699737,0.0313960456977865
granular,wall_down,-4,45,45,0.4689581516299837,0.5050127641966681
granular,wall_left,-4,45,45,0.6700454605713478,0.6528212059631245
granular,wall_right,-4,45,45,0.5828408061295182,0.6195343164551887
granular,wall_up,-4,45,45,0.5250639889411591,0.5131065959251481
granular,door_open,-3,45,45,0.09459383573077604,0.0738524247788871
granular,has_key,-3,45,45,0.12105219408163648,0.0419588904059091
granular,wall_down,-3,45,45,0.48393479175209897,0.4933592963040119
granular,wall_left,-3,45,45,0.6592362530221242,0.6248300163077363
granular,wall_right,-3,45,45,0.5431986870690974,0.6129833588870984
granular,wall_up,-3,45,45,0.5357909344131432,0.5346176639056042
granular,door_open,-2,45,45,0.08535024219257768,0.0728763078718404
granular,has_key,-2,45,45,0.10222363728526337,0.0250822536264394
granular,wall_down,-2,45,45,0.476019021402897,0.4585190343049179
granular,wall_left,-2,45,45,0.6631733532323623,0.6346449364226195
granular,wall_right,-2,45,45,0.5452952784777453,0.516677099661661
granular,wall_up,-2,45,45,0.5234347703185405,0.5277754662301047
granular,door_open,-1,45,45,0.07897376809208699,0.0738525894522648
granular,has_key,-1,45,45,0.11340760998768246,0.0190131422205987
granular,wall_down,-1,45,45,0.41871298864565265,0.4120145385879338
granular,wall_left,-1,45,45,0.6171339498552235,0.6695976847242749
granular,wall_right,-1,45,45,0.4840116237567752,0.4866417807618058
granular,wall_up,-1,45,45,0.4769299038335466,0.3996695971075594
granular,door_open,0,46,46,0.09550093976294213,0.0658757363810979
granular,has_key,0,46,46,0.12355774541225736,0.01808075488786835
granular,wall_down,0,46,46,0.45718848346148006,0.4255480283931198
granular,wall_left,0,46,46,0.5800794566314782,0.5388339305460412
granular,wall_right,0,46,46,0.5009661100547034,0.44218904553070515
granular,wall_up,0,46,46,0.5005286189744775,0.46423614800196045
granular,door_open,1,46,46,0.10347630088811816,0.0708914269974861
granular,has_key,1,46,46,0.1278623640708806,0.019596951940693948
granular,wall_down,1,46,46,0.44599945902352095,0.44981584383659756
granular,wall_left,1,46,46,0.5922186531501401,0.5242882183589133
granular,wall_right,1,46,46,0.5088411766216037,0.479109414633309
granular,wall_up,1,46,46,0.49381914771116586,0.4506170161907941
granular,door_open,2,46,46,0.08770742964475704,0.0578409591957131
granular,has_key,2,46,46,0.1238225792282697,0.0129256181484429
granular,wall_down,2,46,46,0.42564716293891164,0.39823366960832596
granular,wall_left,2,46,46,0.5877438739348309,0.5146851507568423
granular,wall_right,2,46,46,0.4990311553734082,0.44891745688159457
granular,wall_up,2,46,46,0.4815041934049917,0.4649070200304186
granular,door_open,3,44,44,0.07946532014715647,0.053320380988587004
granular,has_key,3,44,44,0.11782986291411933,0.0121858894046856
granular,wall_down,3,44,44,0.41220504073579856,0.3655415743724295
granular,wall_left,3,44,44,0.5527861895389287,0.514772640422875
granular,wall_right,3,44,44,0.4695399242705445,0.3652131593574033
granular,wall_up,3,44,44,0.4422254949022676,0.38297870316211924
granular,door_open,4,43,43,0.08480499855215191,0.0535466651866067
granular,has_key,4,43,43,0.10054256694470126,0.0172010837887889
granular,wall_down,4,43,43,0.4075576353241354,0.3662874398995868
granular,wall_left,4,43,43,0.552327739119641,0.5346176639056042
granular,wall_right,4,43,43,0.4563776585821505,0.3960003847983145
granular,wall_up,4,43,43,0.4531802736631144,0.4140823315100833
granular,door_open,5,38,38,0.08462525719670212,0.06028558276565335
granular,has_key,5,38,38,0.1151174769159125,0.01548297875371105
granular,wall_down,5,38,38,0.37507606282012956,0.343242437254937
granular,wall_left,5,38,38,0.5428548778170537,0.4737386122789716
granular,wall_right,5,38,38,0.4737393937714316,0.44156436339768546
granular,wall_up,5,38,38,0.4719250739209322,0.39823354354265417
granular,door_open,6,38,38,0.09995021883182927,0.04985953950685035
granular,has_key,6,38,38,0.13455828882234958,0.020811484738602
granular,wall_down,6,38,38,0.4174984230109898,0.3745457339738021
granular,wall_left,6,38,38,0.5438449069255233,0.48685717612911705
granular,wall_right,6,38,38,0.5081870860910731,0.44571127603574584
granular,wall_up,6,38,38,0.4653372052032349,0.37285001747059476
granular,door_open,7,36,36,0.09383678688753613,0.061166056436610855
granular,has_key,7,36,36,0.11124702308594824,0.0170439897602079
granular,wall_down,7,36,36,0.3811755690818836,0.3224910950175752
granular,wall_left,7,36,36,0.5409368872707517,0.5102096127812377
granular,wall_right,7,36,36,0.4569091092630738,0.4554924029165429
granular,wall_up,7,36,36,0.4852542974153898,0.41877608867965077
granular,door_open,8,35,35,0.098363030467186,0.0642213497318624
granular,has_key,8,35,35,0.10030699392832845,0.018768510083593
granular,wall_down,8,35,35,0.3897796507487313,0.3520109262144338
granular,wall_left,8,35,35,0.5357970131660128,0.4380153957894998
granular,wall_right,8,35,35,0.4830283231200046,0.4522208740705045
granular,wall_up,8,35,35,0.48365263423870736,0.5346176639056042
granular,door_open,9,35,35,0.09273651952488829,0.0601906892343318
granular,has_key,9,35,35,0.11347055816694379,0.0100045920281723
granular,wall_down,9,35,35,0.39176725574603904,0.3505356221220806
granular,wall_left,9,35,35,0.5652582586503466,0.4933592963040119
granular,wall_right,9,35,35,0.4936166325984306,0.416027570347926
granular,wall_up,9,35,35,0.4993363839071753,0.4380142205674372
granular,door_open,10,33,33,0.09320230108852053,0.0720406402081906
granular,has_key,10,33,33,0.13615569101804972,0.0150602063981342
granular,wall_down,10,33,33,0.41474604076320726,0.3520103436005485
granular,wall_left,10,33,33,0.5798206610865684,0.5578411462075153
granular,wall_right,10,33,33,0.45297299999078977,0.416027570347926
granular,wall_up,10,33,33,0.4971707414493,0.468360623203878
