event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
suboptimal_to_optimal,belief_error_recovery,has_key_after_left,action_effects,135,10,1,0.007407407407407408,0,0.0,1,0.007407407407407408,2,0.014814814814814815,1,0.1,0.9
suboptimal_to_optimal,belief_error_recovery,has_key_after_right,action_effects,135,28,1,0.007407407407407408,0,0.0,0,0.0,1,0.007407407407407408,1,0.03571428571428571,0.9642857142857143
suboptimal_to_optimal,belief_error_recovery,has_key_after_up,action_effects,135,10,1,0.007407407407407408,0,0.0,2,0.014814814814814815,3,0.022222222222222223,1,0.1,0.9
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_down,action_effects,135,105,5,0.037037037037037035,1,0.007407407407407408,6,0.044444444444444446,11,0.08148148148148149,6,0.05714285714285714,0.9428571428571428
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_left,action_effects,135,143,12,0.08888888888888889,5,0.037037037037037035,11,0.08148148148148149,23,0.17037037037037037,15,0.1048951048951049,0.8951048951048951
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_right,action_effects,135,192,9,0.06666666666666667,4,0.02962962962962963,8,0.05925925925925926,18,0.13333333333333333,13,0.06770833333333333,0.9322916666666666
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_up,action_effects,135,244,10,0.07407407407407407,10,0.07407407407407407,14,0.1037037037037037,31,0.22962962962962963,17,0.06967213114754098,0.930327868852459
suboptimal_to_optimal,belief_error_recovery,key_location,coordinates,135,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_down,wall_directional,135,197,13,0.0962962962962963,2,0.014814814814814815,16,0.11851851851851852,25,0.18518518518518517,13,0.06598984771573604,0.934010152284264
suboptimal_to_optimal,belief_error_recovery,wall_left,wall_directional,135,29,1,0.007407407407407408,5,0.037037037037037035,1,0.007407407407407408,7,0.05185185185185185,6,0.20689655172413793,0.7931034482758621
suboptimal_to_optimal,belief_error_recovery,wall_right,wall_directional,135,24,0,0.0,5,0.037037037037037035,1,0.007407407407407408,5,0.037037037037037035,5,0.20833333333333334,0.7916666666666666
suboptimal_to_optimal,belief_error_recovery,wall_up,wall_directional,135,117,6,0.044444444444444446,3,0.022222222222222223,6,0.044444444444444446,12,0.08888888888888889,8,0.06837606837606838,0.9316239316239316
