example_id,trajectory_id,matched_role,trajectory_class,pre_action_entropy_mean,commitment_action_entropy,post_action_entropy_mean,pre_action_confidence_mean,commitment_action_confidence,post_action_confidence_mean,pre_state_belief_entropy_mean,commitment_state_belief_entropy,post_state_belief_entropy_mean,pre_low_action_entropy_rate,n_pre_prefixes,n_post_prefixes,delta_commitment_minus_pre_action_entropy,delta_post_minus_pre_action_entropy,delta_post_minus_pre_action_confidence,delta_post_minus_pre_state_belief_entropy
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_30_step_004,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_30,control,optimal_success,0.9339136457361084,0.8308737213121562,0.7235753932326077,0.6251904368400574,0.7441240549087524,0.7961867094039917,0.42881352201112366,0.3583646966997401,0.296666282998275,0.0,5,5,-0.10303992442395216,-0.2103382525035007,0.17099627256393435,-0.13214723901284864
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_30_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_30,failure,optimal_success,0.17658327637444837,0.0211947557238463,8.298866495826107e-05,0.9417218565940857,0.9980083107948304,0.999995768070221,0.2626892289141967,0.2483223219838918,0.19626164400026505,0.8,5,2,-0.15538852065060207,-0.1765002877094901,0.058273911476135254,-0.06642758491393166
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_31_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_31,failure,optimal_success,0.5489318503649482,0.6729965018121989,0.1375952496888811,0.8512249946594238,0.8311923146247864,0.9767637252807617,0.307892389951879,0.2813002802274872,0.2600728069873429,0.0,5,5,0.12406465144725076,-0.4113366006760671,0.1255387306213379,-0.04781958296453609
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33,control,suboptimal_success,1.2033695857504156,0.9519415650693568,0.31400337101792036,0.6544715642929078,0.8194020390510559,0.943198311328888,0.44115929258429726,0.5862950497269859,0.5422730627755195,0.0,5,5,-0.25142802068105885,-0.8893662147324952,0.2887267470359802,0.1011137701912222
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33,failure,suboptimal_success,0.015725904093123938,1.2432565991649298,0.08598782818040848,0.9985493540763855,0.5204046368598938,0.9885066390037537,0.6058448076064639,0.5710144951120084,0.5357321270702347,1.0,5,5,1.227530695071806,0.07026192408728454,-0.01004271507263177,-0.07011268053622921
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33,failure,suboptimal_success,0.8880965851720651,0.8250476962347313,0.6990660546105334,0.686296033859253,0.7445183396339417,0.7740554928779602,0.4526835206987213,0.4853982426465472,0.4410964088064767,0.0,5,5,-0.06304888893733385,-0.18903053056153174,0.08775945901870719,-0.011587111892244595
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34_step_006,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34,failure,suboptimal_success,0.6506481351687892,0.0243698820911858,0.011446431955082981,0.8395966649055481,0.997750461101532,0.9989868998527527,0.37200932872962567,0.220943283983749,0.40864557037159865,0.0,5,5,-0.6262782530776033,-0.6392017032137062,0.1593902349472046,0.03663624164197299
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34,failure,suboptimal_success,0.55454756998809,0.4451076047074032,0.4968187729733925,0.8315686345100403,0.918452799320221,0.9095446705818176,0.6611358873217111,0.8140764207780835,0.7350362036405762,0.4,5,5,-0.10943996528068678,-0.057728797014697464,0.07797603607177739,0.07390031631886507
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_36_step_008,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_36,failure,optimal_success,0.6395365504808475,0.1200075885213969,2.4751294940055283e-05,0.8141362071037292,0.9837794899940492,0.9999988555908204,0.32112791613610897,0.1245693654565671,0.34266662103427875,0.0,5,5,-0.5195289619594505,-0.6395117991859074,0.1858626484870911,0.02153870489816978
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_37_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_37,failure,optimal_success,0.5172917739337553,0.0001938336497952,0.00012890122158619468,0.8530848145484924,0.9999897480010986,0.9999927878379822,0.6448205239107285,0.2872586827264614,0.36512404520743325,0.0,5,4,-0.5170979402839601,-0.5171628727121691,0.1469079732894898,-0.2796964787032953
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_41_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_41,failure,suboptimal_success,0.6623159692741389,1.006949136767014,0.6752697743554941,0.8099855422973633,0.5439106225967407,0.8389766454696655,0.36316846605328595,0.3674971774352193,0.2823913150971781,0.0,5,5,0.3446331674928751,0.01295380508135513,0.028991103172302246,-0.08077715095610788
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_42_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_42,control,suboptimal_success,0.4516956563347474,0.5452223599731225,0.25787572920501445,0.8633317232131958,0.8764905333518982,0.9542097330093384,0.41578266193943564,0.4038306948473232,0.41050966171898595,0.0,5,5,0.09352670363837512,-0.19381992712973295,0.09087800979614258,-0.005273000220449686
