group,relative_commitment_offset,n_states,n_prefixes,median_action_entropy_bits,q25_action_entropy_bits,q75_action_entropy_bits,median_action_confidence,q25_action_confidence,q75_action_confidence,median_state_belief_entropy_bits,mean_sentence_char_length,mean_action_probability_sum
control,-2,22,22,0.8019562863547394,0.4583095212997059,0.9917373175490151,0.7972694039344788,0.5988190621137619,0.908972144126892,0.38615623435348656,37.59090909090909,1.0000000028525966
control,-1,22,22,0.9881040780244825,0.4507499381309233,1.0160803906811142,0.6349267959594727,0.5441455245018005,0.9064603447914122,0.3368832120937858,69.77272727272727,0.9999999989473942
control,0,23,23,0.5452223599731225,0.17169719144834883,0.9515782054252133,0.8764905333518982,0.6506790816783905,0.9746671617031097,0.3351336525946705,46.130434782608695,0.9999999940285198
control,1,23,23,0.2207778700496357,0.08467287051239855,0.594344704909646,0.9674728512763976,0.864001989364624,0.9909699857234955,0.3518770377609708,42.95652173913044,0.999999996381622
control,2,23,23,0.1215170012047492,0.016384383733273798,0.47672681737295214,0.9836779832839966,0.9022496044635773,0.9985556900501251,0.359270456065707,36.34782608695652,1.0000000041532286
control,3,23,23,0.0685763473111072,0.00594753052235485,0.39103796581855477,0.9928097724914552,0.929155558347702,0.9995503723621368,0.3234325965973063,33.65217391304348,1.000000007355492
control,4,22,22,0.08791831141278161,0.0043531298563668,0.3277188038270267,0.9899832308292388,0.941900223493576,0.99966162443161,0.29106273104981684,31.045454545454547,0.9999999938836868
control,5,20,20,0.08518971678234374,0.0086797561841762,0.19248317352903238,0.9900090396404266,0.9743288308382034,0.9993185400962828,0.27077058103032153,38.9,1.0000000062488588
control,6,20,20,0.10718876198338255,0.01030906588591125,0.29526643604535646,0.9867553114891052,0.9588893353939056,0.9991989582777023,0.271012923394493,40.55,1.000000005963305
control,7,19,19,0.0912387004295935,0.021112895122144,0.33789806244007503,0.9885293841362,0.9402596354484558,0.998186230659485,0.3030190016770645,37.421052631578945,0.9999999956937984
control,8,19,19,0.0380071197844714,0.00269720235743895,0.15843319357612545,0.9963458180427552,0.9810813963413239,0.9997937381267548,0.2694630303510585,45.05263157894737,0.9999999819423518
control,9,19,19,0.0179499913985508,0.00086723354242295,0.1248449983622152,0.998348355293274,0.9852550029754639,0.9999469518661498,0.2522378127799425,39.94736842105263,0.9999999983034171
control,10,18,18,0.0152088165864241,0.0011818622067800999,0.1396723778279352,0.9985687434673309,0.9804407805204391,0.9999270141124725,0.27185927817309896,48.94444444444444,0.9999999965826173
